Complaint Type,count
HEATING,202896
Noise - Residential,151516
GENERAL CONSTRUCTION,112169
Street Light Condition,92502
PLUMBING,86564
PAINT - PLASTER,77957
Street Condition,74213
Blocked Driveway,57408
NONCONST,53831
Water System,53187
Traffic Signal Condition,44739
Illegal Parking,44156
General Construction/Plumbing,43778
Noise,39250
ELECTRIC,35101
Broken Muni Meter,34129
Dirty Conditions,33227
Sewer,31439
Noise - Commercial,26520
Building/Use,25271
Sanitation Condition,24888
Noise - Street/Sidewalk,24609
Rodent,22345
New Tree Request,19251
Sidewalk Condition,17860
Damaged Tree,17741
Consumer Complaint,17234
Taxi Complaint,16961
Missed Collection (All Materials),16608
Overgrown Tree/Branches,14139
DOF Property - Reduction Issue,13867
Graffiti,13511
Noise - Vehicle,12772
Derelict Vehicles,11783
Derelict Vehicle,11733
Street Sign - Damaged,11061
Benefit Card Replacement,10209
DOF Parking - Payment Issue,9605
Root/Sewer/Sidewalk Condition,9186
Dead Tree,8699
Maintenance or Facility,8411
SCRIE,8363
DOF Property - Owner Issue,8280
Elevator,8254
Air Quality,6813
Food Establishment,6744
Housing - Low Income Senior,5797
Construction,5612
DOF Property - Request Copy,5562
APPLIANCE,5525
Other Enforcement,5171
Street Sign - Missing,5022
Non-Emergency Police Matter,4657
Emergency Response Team (ERT),4616
Indoor Air Quality,4464
HPD Literature Request,4176
DOF Property - Payment Issue,4127
Electrical,4015
Water Conservation,3692
Vending,3306
Plumbing,3246
Special Projects Inspection Team (SPIT),3230
Curb Condition,3118
Noise - Park,2940
Food Poisoning,2926
Traffic,2799
Hazardous Materials,2743
DCA / DOH New License Application Request,2696
Litter Basket / Request,2687
Highway Condition,2567
For Hire Vehicle Complaint,2485
Snow,2475
Homeless Encampment,2474
Vacant Lot,2461
BEST/Site Safety,2342
Street Sign - Dangling,2281
Construction Safety Enforcement,2280
Lead,2142
Standing Water,2073
Illegal Tree Damage,2003
Unsanitary Animal Pvt Property,1996
Boilers,1928
Housing Options,1927
Asbestos,1844
Smoking,1578
OEM Literature Request,1529
Industrial Waste,1507
Animal in a Park,1481
DOF Parking - Request Status,1443
Sweeping/Missed-Inadequate,1441
Non-Residential Heat,1408
Drinking,1332
Violation of Park Rules,1317
School Maintenance,1306
GENERAL,1283
DOF Parking - Request Copy,1282
Overflowing Litter Baskets,1225
Indoor Sewage,1189
Water Quality,1174
Bus Stop Shelter Complaint,1096
Investigations and Discipline (IAD),1076
CONSTRUCTION,1033
Noise - House of Worship,992
Taxi Compliment,895
PAINT/PLASTER,891
Recycling Enforcement,835
Animal Abuse,805
Derelict Bicycle,771
Noise - Helicopter,769
Elder Abuse,719
Plant,665
Unleashed Dog,655
Miscellaneous Categories,572
Unsanitary Pigeon Condition,516
Bridge Condition,515
Disorderly Youth,514
DOF Parking - Tax Exemption,513
Bike/Roller/Skate Chronic,489
Ferry Inquiry,479
Homeless Person Assistance,458
Public Payphone Complaint,430
Mold,412
Found Property,402
Urinating in Public,376
Cranes and Derricks,352
City Vehicle Placard Complaint,347
DOF Property - RPIE Issue,340
Alzheimer's Care,316
Senior Center Complaint,280
Bus Stop Shelter Placement,280
DPR Internal,244
Illegal Animal Kept as Pet,234
Forensic Engineering,231
Panhandling,188
Ferry Complaint,184
Illegal Fireworks,178
Scaffold Safety,162
DOF Parking - DMV Clearance,155
Home Repair,155
Beach/Pool/Sauna Complaint,146
Broken Parking Meter,145
Collection Truck Noise,137
Bike Rack Condition,134
Home Delivered Meal - Missed Delivery,131
Poison Ivy,124
Drinking Water,117
Harboring Bees/Wasps,112
DOF Property - Property Value,110
Tattooing,107
Posting Advertisement,106
DOF Property - City Rebate,105
Special Natural Area District (SNAD),83
Unsanitary Animal Facility,82
Highway Sign - Damaged,78
DHS Advantage - Tenant,77
Home Delivered Meal Complaint,74
ATF,74
Stalled Sites,73
Animal Facility - No Permit,59
Highway Sign - Missing,56
Adopt-A-Basket,53
Parking Card,51
Municipal Parking Facility,50
DHS Advantage -Landlord/Broker,46
Public Toilet,44
Window Guard,42
Illegal Animal Sold,38
Ferry Permit,36
Bereavement Support Group,28
Transportation Provider Complaint,26
Case Management Agency Complaint,24
Home Care Provider Complaint,21
Highway Sign - Dangling,20
Legal Services Provider Complaint,18
DHS Income Savings Requirement,18
Calorie Labeling,17
Tunnel Condition,17
STRUCTURAL,16
X-Ray Machine/Equipment,14
Bottled Water,14
Lifeguard,10
FATF,7
Building Condition,5
Summer Camp,5
Radioactive Material,5
Trans Fat,4
Squeegee,2
Sweeping/Missed,2
DHS Advantage - Third Party,2
Portable Toilet,1
Building Marshals office,1
Facades,1
SNW,1
NORC Complaint,1
