10467,HEAT/HOT WATER,7144
10458,HEAT/HOT WATER,6891
11226,HEAT/HOT WATER,6784
10468,HEAT/HOT WATER,6757
10453,HEAT/HOT WATER,6515
10040,HEAT/HOT WATER,5832
11226,Noise - Residential,5281
10467,Noise - Residential,4663
10452,HEAT/HOT WATER,4482
10457,HEAT/HOT WATER,4446
10456,HEAT/HOT WATER,4446
10462,HEAT/HOT WATER,4343
10031,HEAT/HOT WATER,4275
10032,HEAT/HOT WATER,4165
11213,HEAT/HOT WATER,4131
10463,HEAT/HOT WATER,3998
10472,HEAT/HOT WATER,3984
11225,HEAT/HOT WATER,3975
10468,Noise - Residential,3913
10031,Noise - Residential,3840
10456,Noise - Residential,3695
11212,HEAT/HOT WATER,3676
10033,HEAT/HOT WATER,3646
11368,Blocked Driveway,3597
10458,Noise - Residential,3562
11207,Noise - Residential,3399
11221,Noise - Residential,3385
10453,Noise - Residential,3351
10452,Noise - Residential,3311
10032,Noise - Residential,3220
10025,HEAT/HOT WATER,3138
10314,Street Condition,3134
11226,UNSANITARY CONDITION,3126
11221,HEAT/HOT WATER,3083
10460,HEAT/HOT WATER,3057
11206,Noise - Residential,3049
10040,Noise - Residential,2978
11216,Noise - Residential,2929
11213,Noise - Residential,2916
10451,HEAT/HOT WATER,2870
11233,HEAT/HOT WATER,2808
10034,HEAT/HOT WATER,2804
10029,Noise - Residential,2771
10457,Noise - Residential,2761
11237,Noise - Residential,2742
10029,HEAT/HOT WATER,2712
11226,PAINT/PLASTER,2668
10460,Noise - Residential,2606
11208,HEAT/HOT WATER,2599
10466,HEAT/HOT WATER,2596
10027,Noise - Residential,2590
10033,Noise - Residential,2567
11203,HEAT/HOT WATER,2562
11207,HEAT/HOT WATER,2550
10002,Noise - Residential,2549
11225,Noise - Residential,2549
10027,HEAT/HOT WATER,2546
11208,Noise - Residential,2467
10312,Street Condition,2465
11216,HEAT/HOT WATER,2465
10034,Noise - Residential,2456
10463,Noise - Residential,2391
10462,Noise - Residential,2355
11212,Noise - Residential,2348
10459,HEAT/HOT WATER,2339
10009,Noise - Residential,2328
11209,HEAT/HOT WATER,2313
10025,Noise - Residential,2289
11230,HEAT/HOT WATER,2276
11385,Illegal Parking,2235
10040,Noise - Street/Sidewalk,2208
