11226,HEAT/HOT WATER,7047
10458,HEAT/HOT WATER,7030
10467,HEAT/HOT WATER,6726
10453,HEAT/HOT WATER,6464
10468,HEAT/HOT WATER,5973
11205,Noise - Residential,5370
10031,HEAT/HOT WATER,5029
10462,HEAT/HOT WATER,4997
10467,Noise - Residential,4923
11226,Noise - Residential,4818
11225,HEAT/HOT WATER,4814
10472,HEAT/HOT WATER,4780
10452,HEAT/HOT WATER,4754
10040,HEAT/HOT WATER,4734
10457,HEAT/HOT WATER,4705
10456,HEAT/HOT WATER,4667
10456,Noise - Residential,4544
10468,Noise - Residential,4368
11213,HEAT/HOT WATER,4337
10031,Noise - Residential,4326
11368,Blocked Driveway,4142
10458,Noise - Residential,3865
11385,Illegal Parking,3718
11221,Noise - Residential,3672
10032,HEAT/HOT WATER,3634
11212,HEAT/HOT WATER,3627
10003,Homeless Person Assistance,3572
10033,HEAT/HOT WATER,3566
10040,Noise - Residential,3545
10452,Noise - Residential,3537
10460,HEAT/HOT WATER,3467
10453,Noise - Residential,3398
10463,HEAT/HOT WATER,3346
10457,Noise - Residential,3325
10451,HEAT/HOT WATER,3298
10034,Noise - Residential,3183
11206,Noise - Residential,3108
10036,Homeless Person Assistance,3080
11237,Noise - Residential,3050
11209,Illegal Parking,3002
10023,Homeless Person Assistance,2984
11373,HEAT/HOT WATER,2956
11221,HEAT/HOT WATER,2936
10032,Noise - Residential,2902
11207,Noise - Residential,2892
11226,UNSANITARY CONDITION,2852
10472,Noise - Residential,2803
10001,Homeless Person Assistance,2768
11207,HEAT/HOT WATER,2761
11212,Noise - Residential,2753
10025,HEAT/HOT WATER,2739
11216,Noise - Residential,2738
11236,Blocked Driveway,2682
11385,Blocked Driveway,2668
11216,HEAT/HOT WATER,2657
11225,Noise - Residential,2621
11203,HEAT/HOT WATER,2613
11233,HEAT/HOT WATER,2608
10466,Noise - Residential,2601
10029,Noise - Residential,2577
11208,Noise - Residential,2573
10027,Noise - Residential,2561
11234,Illegal Parking,2559
10033,Noise - Residential,2549
11213,Noise - Residential,2532
10027,HEAT/HOT WATER,2530
11210,HEAT/HOT WATER,2514
10466,HEAT/HOT WATER,2512
10460,Noise - Residential,2500
11208,HEAT/HOT WATER,2499
10453,UNSANITARY CONDITION,2485
10463,Noise - Residential,2482
11238,Noise - Residential,2477
10459,HEAT/HOT WATER,2458
10040,Noise - Street/Sidewalk,2440
10019,Homeless Person Assistance,2438
10034,HEAT/HOT WATER,2435
10009,Noise - Residential,2385
10002,Noise - Residential,2381
11208,Blocked Driveway,2350
11373,Blocked Driveway,2340
10039,Noise - Residential,2327
11355,Blocked Driveway,2313
10031,Noise - Street/Sidewalk,2312
11226,PAINT/PLASTER,2312
11368,Noise - Residential,2295
11233,Noise - Residential,2293
11419,Blocked Driveway,2272
11230,HEAT/HOT WATER,2250
10458,PAINT/PLASTER,2230
10467,UNSANITARY CONDITION,2216
10011,Homeless Person Assistance,2180
11204,Illegal Parking,2169
11214,Illegal Parking,2135
10459,Noise - Residential,2121
11385,Noise - Residential,2116
11235,HEAT/HOT WATER,2110
10029,HEAT/HOT WATER,2108
10466,Blocked Driveway,2096
11378,Illegal Parking,2095
10453,PAINT/PLASTER,2076
10458,UNSANITARY CONDITION,2074
11203,Blocked Driveway,2064
10462,Noise - Residential,2058
11377,Blocked Driveway,2057
11230,Illegal Parking,2041
10032,Noise - Street/Sidewalk,2038
11219,Illegal Parking,2022
10314,Street Condition,2020
11220,HEAT/HOT WATER,2008
10452,UNSANITARY CONDITION,1992
11218,HEAT/HOT WATER,1980
10467,PAINT/PLASTER,1969
11236,Noise - Residential,1958
10025,Noise - Residential,1954
11234,Blocked Driveway,1939
11203,Noise - Residential,1932
11214,Blocked Driveway,1925
10030,Noise - Residential,1924
11218,Illegal Parking,1902
10016,Homeless Person Assistance,1840
10457,UNSANITARY CONDITION,1838
10456,UNSANITARY CONDITION,1836
11207,Blocked Driveway,1830
11211,Noise - Residential,1817
10453,PLUMBING,1808
11419,Noise - Residential,1807
10024,HEAT/HOT WATER,1801
11220,Illegal Parking,1790
11226,Blocked Driveway,1781
11368,HEAT/HOT WATER,1769
10461,HEAT/HOT WATER,1766
11230,Blocked Driveway,1765
10016,Noise,1759
11420,Noise - Residential,1756
11214,HEAT/HOT WATER,1755
11201,Noise,1755
10452,PAINT/PLASTER,1754
10467,Blocked Driveway,1739
11229,HEAT/HOT WATER,1736
11226,PLUMBING,1730
11223,Illegal Parking,1727
10030,HEAT/HOT WATER,1726
11209,HEAT/HOT WATER,1719
11228,Illegal Parking,1717
10009,Noise - Commercial,1709
11238,HEAT/HOT WATER,1707
10469,Blocked Driveway,1699
10009,HEAT/HOT WATER,1698
11235,Blocked Driveway,1696
10027,Noise - Street/Sidewalk,1687
10455,HEAT/HOT WATER,1670
11421,Blocked Driveway,1662
11373,Noise - Residential,1649
10002,Noise - Commercial,1639
10468,PAINT/PLASTER,1632
11234,Derelict Vehicles,1626
11207,UNSANITARY CONDITION,1620
11216,Noise - Commercial,1619
10472,UNSANITARY CONDITION,1618
10025,Homeless Person Assistance,1615
11377,HEAT/HOT WATER,1610
10468,UNSANITARY CONDITION,1599
11101,Illegal Parking,1589
11204,Blocked Driveway,1568
11217,Noise - Commercial,1567
11237,HEAT/HOT WATER,1564
11210,Blocked Driveway,1559
11691,HEAT/HOT WATER,1559
10033,Water System,1559
11223,Blocked Driveway,1553
10018,Homeless Person Assistance,1547
10031,PAINT/PLASTER,1547
10458,PLUMBING,1546
11234,Derelict Vehicle,1545
10026,Noise - Residential,1534
11212,UNSANITARY CONDITION,1531
11226,Noise - Street/Sidewalk,1529
10457,PAINT/PLASTER,1529
11230,Noise - Residential,1513
11220,Noise - Residential,1511
11385,HEAT/HOT WATER,1511
11355,HEAT/HOT WATER,1511
10456,PAINT/PLASTER,1508
11372,Noise - Residential,1505
11369,Blocked Driveway,1505
10001,Noise,1504
10031,UNSANITARY CONDITION,1503
11220,Blocked Driveway,1497
11420,Blocked Driveway,1494
10451,Noise - Residential,1494
10455,Noise - Residential,1492
11691,Noise - Residential,1491
10019,Noise,1490
10035,Noise - Residential,1487
11225,UNSANITARY CONDITION,1476
10019,HEAT/HOT WATER,1476
10306,Street Condition,1468
11221,Blocked Driveway,1459
10467,PLUMBING,1458
11213,UNSANITARY CONDITION,1454
11377,Illegal Parking,1453
10003,Noise - Residential,1450
11377,Noise - Residential,1447
10017,Homeless Person Assistance,1446
10453,Blocked Driveway,1441
10452,PLUMBING,1439
10468,PLUMBING,1438
11215,Illegal Parking,1437
11238,Noise - Commercial,1436
10034,Noise - Street/Sidewalk,1436
10312,Street Condition,1425
11218,Blocked Driveway,1424
10454,Noise - Residential,1423
10033,Noise - Street/Sidewalk,1420
10456,Noise - Street/Sidewalk,1418
10461,Noise - Residential,1417
